PARTICLE_ID,R,G,B,X,Y,Z,VX,VY,VZ,M,RAD,REST,TEMP,COMPLEXITY,COMPLEXITY_SIZE,COMPLEXITY_N
67,1,1,1,-91.7189,-32.7784,0,-99.4712,-119.409,0,1.875e+14,0.75,0.2,3.83664e+18,moon1,1,1
68,1,1,1,-45.4102,9.92144,0,70.4645,-127.034,0,1.875e+14,0.75,0.2,2.11411e+18,moon1,1,1
69,1,1,1,-98.3319,-34.6538,0,-154.201,76.1682,0,1.875e+14,0.75,0.2,9.72472e+18,moon1,1,1
71,1,1,1,-48.8859,2.78574,0,-46.2502,-69.946,0,1.875e+14,0.75,0.2,8.35253e+18,moon1,1,1
72,1,1,1,-96.9921,-33.9793,0,-134.19,36.3212,0,1.875e+14,0.75,0.2,3.18157e+18,moon1,1,1
73,1,1,1,-47.1479,6.35358,0,12.2,-98.4518,0,1.875e+14,0.75,0.2,6.52957e+18,moon1,1,1
76,1,1,1,-52.1689,5.01541,0,-9.00984,-16.1948,0,1.875e+14,0.75,0.2,1.08907e+19,moon1,1,1
77,1,1,1,-103.434,-32.8596,0,-101.447,227.389,0,1.875e+14,0.75,0.2,1.30359e+19,moon1,1,1
78,1,1,1,-47.8238,3.84496,0,-28.7601,-87.5007,0,1.875e+14,0.75,0.2,7.61175e+18,moon1,1,1
79,1,1,1,-93.0587,-33.453,0,-119.182,-79.8608,0,1.875e+14,0.75,0.2,1.56214e+19,moon1,1,1
80,1,1,1,-94.3984,-34.1277,0,-140.219,-40.4746,0,1.875e+14,0.75,0.2,1.15697e+19,moon1,1,1
81,1,1,1,593.714,135.343,0,313.448,27.0948,0,1.875e+14,0.75,0.2,7.22723e+18,moon1,1,1
82,1,1,1,-93.23,-36.4481,0,-207.587,-74.8819,0,1.875e+14,0.75,0.2,9.88226e+18,moon1,1,1
83,1,1,1,-56.9001,7.63523,0,33.5572,60.9123,0,1.875e+14,0.75,0.2,6.83401e+18,moon1,1,1
84,1,1,1,-54.1002,12.2623,0,108.945,15.038,0,1.875e+14,0.75,0.2,1.01022e+19,moon1,1,1
0,1,1,1,-90.2078,-29.1089,0,9.47306,-164.45,0,1.875e+14,0.75,0.2,5.95086e+18,moon1,1,1
1,1,1,1,-48.9827,8.19314,0,41.4757,-68.2645,0,1.875e+14,0.75,0.2,1.87863e+19,moon1,1,1
2,1,1,1,-94.1414,-29.6351,0,-6.21225,-47.6183,0,1.875e+14,0.75,0.2,1.66069e+19,moon1,1,1
3,1,1,1,-55.1622,11.2031,0,91.9905,32.6713,0,1.875e+14,0.75,0.2,6.61413e+18,moon1,1,1
4,1,1,1,-95.3098,-27.3146,0,62.7637,-13.3632,0,1.875e+14,0.75,0.2,6.08562e+18,moon1,1,1
5,1,1,1,593,134.023,0,285.566,42.5499,0,1.875e+14,0.75,0.2,3.83687e+18,moon1,1,1
6,1,1,1,-54.4865,13.7117,0,132.597,20.7469,0,1.875e+14,0.75,0.2,7.52177e+18,moon1,1,1
7,1,1,1,-55.838,8.69444,0,50.7965,43.6532,0,1.875e+14,0.75,0.2,1.80675e+19,moon1,1,1
8,1,1,1,-47.5343,7.80294,0,35.9975,-92.0042,0,1.875e+14,0.75,0.2,1.19099e+19,moon1,1,1
9,1,1,1,-87.6997,-30.7549,0,-39.5571,-238.569,0,1.875e+14,0.75,0.2,3.67271e+18,moon1,1,1
10,1,1,1,-50.4309,8.58324,0,49.0642,-45.4355,0,1.875e+14,0.75,0.2,9.17101e+18,moon1,1,1
12,1,1,1,-47.9206,9.25233,0,60.4933,-86.3571,0,1.875e+14,0.75,0.2,1.10417e+19,moon1,1,1
13,1,1,1,-95.4811,-30.3097,0,-25.8319,-8.11384,0,1.875e+14,0.75,0.2,9.50412e+18,moon1,1,1
14,1,1,1,-89.2966,-35.922,0,-192.452,-190.965,0,1.875e+14,0.75,0.2,3.51319e+18,moon1,1,1
15,1,1,1,-48.5963,6.74375,0,18.175,-74.743,0,1.875e+14,0.75,0.2,1.73792e+19,moon1,1,1
16,1,1,1,592.928,136.62,0,340.761,43.951,0,1.875e+14,0.75,0.2,5.91907e+18,moon1,1,1
17,1,1,1,-94.5697,-37.1227,0,-227.948,-35.0459,0,1.875e+14,0.75,0.2,8.33849e+18,moon1,1,1
18,1,1,1,-56.2243,10.1438,0,74.8219,49.8164,0,1.875e+14,0.75,0.2,7.50017e+18,moon1,1,1
19,1,1,1,-55.4518,7.24507,0,27.3766,37.111,0,1.875e+14,0.75,0.2,6.23707e+18,moon1,1,1
20,1,1,1,-48.21,5.29435,0,-5.27771,-81.0156,0,1.875e+14,0.75,0.2,5.38534e+18,moon1,1,1
21,1,1,1,-91.976,-37.2711,0,-232.56,-111.718,0,1.875e+14,0.75,0.2,5.93601e+18,moon1,1,1
23,1,1,1,-99.4146,-30.8358,0,-41.7978,108.771,0,1.875e+14,0.75,0.2,4.46764e+18,moon1,1,1
25,1,1,1,-102.094,-32.185,0,-82.0915,187.454,0,1.875e+14,0.75,0.2,1.62451e+19,moon1,1,1
26,1,1,1,593.786,132.746,0,258.643,25.7603,0,1.875e+14,0.75,0.2,3.18044e+18,moon1,1,1
27,1,1,1,-104.688,-32.0367,0,-76.7397,263.971,0,1.875e+14,0.75,0.2,6.91485e+18,moon1,1,1
28,1,1,1,-99.7574,-36.8259,0,-218.833,118.628,0,1.875e+14,0.75,0.2,1.69082e+19,moon1,1,1
29,1,1,1,-91.5476,-29.7835,0,-10.2312,-124.782,0,1.875e+14,0.75,0.2,1.54726e+19,moon1,1,1
30,1,1,1,-48.6932,12.1511,0,106.647,-73.6268,0,1.875e+14,0.75,0.2,9.9762e+18,moon1,1,1
31,1,1,1,185.874,1.26732,0,64.0871,-49.7168,0,1.875e+14,0.75,0.2,3.6328e+18,moon1,1,1
32,1,1,1,-51.8793,8.97338,0,55.329,-21.2292,0,1.875e+14,0.75,0.2,1.85104e+19,moon1,1,1
33,1,1,1,-326.056,320.672,0,-115.322,148.571,0,1.875e+14,0.75,0.2,4.04574e+17,moon1,1,1
34,1,1,1,-56.6106,11.5932,0,98.305,55.6398,0,1.875e+14,0.75,0.2,7.23756e+18,moon1,1,1
35,1,1,1,-50.1415,12.5411,0,113.952,-50.0156,0,1.875e+14,0.75,0.2,6.17792e+18,moon1,1,1
36,1,1,1,-102.18,-33.6825,0,-125.91,190.045,0,1.875e+14,0.75,0.2,1.5673e+19,moon1,1,1
37,1,1,1,-52.2656,10.4228,0,78.8444,-14.6313,0,1.875e+14,0.75,0.2,1.9921e+19,moon1,1,1
38,1,1,1,-96.8208,-30.9842,0,-46.4424,31.565,0,1.875e+14,0.75,0.2,1.26439e+19,moon1,1,1
39,1,1,1,-56.3211,15.5512,0,162.916,51.5289,0,1.875e+14,0.75,0.2,3.99109e+18,moon1,1,1
40,1,1,1,-50.8172,10.0326,0,72.4827,-39.0494,0,1.875e+14,0.75,0.2,1.1808e+19,moon1,1,1
41,1,1,1,-46.8585,10.3116,0,76.9464,-103.02,0,1.875e+14,0.75,0.2,1.34576e+19,moon1,1,1
42,1,1,1,-98.5033,-37.6489,0,-243.453,81.6753,0,1.875e+14,0.75,0.2,1.37644e+19,moon1,1,1
43,1,1,1,-51.1068,6.0747,0,7.43219,-33.153,0,1.875e+14,0.75,0.2,3.23197e+19,moon1,1,1
44,1,1,1,-97.1635,-36.9743,0,-223.078,41.6664,0,1.875e+14,0.75,0.2,2.05935e+19,moon1,1,1
45,1,1,1,-51.5898,12.9314,0,119.71,-27.166,0,1.875e+14,0.75,0.2,1.55961e+19,moon1,1,1
46,1,1,1,-98.1606,-31.6588,0,-65.2522,71.6081,0,1.875e+14,0.75,0.2,1.72529e+19,moon1,1,1
48,1,1,1,-90.2935,-30.6065,0,-35.1648,-161.923,0,1.875e+14,0.75,0.2,1.33539e+19,moon1,1,1
49,1,1,1,-91.6333,-31.2811,0,-55.2214,-122.17,0,1.875e+14,0.75,0.2,8.05778e+18,moon1,1,1
50,1,1,1,-299.07,-311.034,0,-152.009,-121.297,0,1.875e+14,0.75,0.2,3.69413e+17,moon1,1,1
