PARTICLE_ID,R,G,B,X,Y,Z,VX,VY,VZ,M,RAD,REST,TEMP,COMPLEXITY,COMPLEXITY_SIZE,COMPLEXITY_N
1,1,0,0,-9.14747,5.96606,0,-237.821,-112.122,0,3.33333e+15,1,0.2,0,simpleswirl,1,1
3,1,0,0,21.5951,6.69949,0,200.833,274.992,0,3.33333e+15,1,0.2,0,simpleswirl,1,1
4,1,0,0,-12.7017,-8.19951,0,63.3411,-68.931,0,3.33333e+15,1,0.2,0,simpleswirl,1,1
5,1,0,0,4.67971,-1.6688,0,93.2321,-50.4418,0,3.33333e+15,1,0.2,4.98957e+19,simpleswirl,1,1
6,1,0,0,-14.7667,2.06318,0,-15.8999,-165.591,0,3.33333e+15,1,0.2,0,simpleswirl,1,1
7,1,0,0,6.44699,-0.732518,0,-35.1674,190.443,0,3.33333e+15,1,0.2,4.98957e+19,simpleswirl,1,1
